亜|sub-,Asia|ア
踪|remains|ソウ
燥|parch|ソウ
霜|frost|ソウ,しも
騒|boisterous|ソウ,さわ-ぐ
藻|seaweed|ソウ,も
憎|hate|ゾウ,にく-む,にく-い,にく-らしい,にく-しみ
贈|presents|ゾウ,（ソウ）,おく-る
即|instant|ソク
促|stimulate|ソク,うなが-す
捉|capture|ソク,とら-える
俗|vulgar|ゾク
賊|burglar|ゾク
遜 [8]|humble|ソン
汰|luxury|タ
妥|gentle|ダ
唾|saliva|ダ,つば
堕|degenerate|ダ
惰|lazy|ダ
駄|burdensome|ダ
耐|resistant|タイ,た-える
怠|neglect|タイ,おこた-る,なま-ける
胎|womb|タイ
泰|peaceful|タイ
堆|piled high|タイ
袋|sack|タイ,ふくろ
逮|apprehend|タイ
替|exchange|タイ,か-える,か-わる
滞|stagnate|タイ,とどこお-る
戴|be crowned with|タイ
滝|waterfall|たき
択|choose|タク
沢|swamp|タク,さわ
卓|eminent|タク
拓|clear (the land)|タク
託|consign|タク
濯|laundry|タク
諾|consent|ダク
濁|voiced|ダク,にご-る,にご-す
但|however|ただ-し
脱|undress|ダツ,ぬ-ぐ,ぬ-げる
奪|rob|ダツ,うば-う
棚|shelf|たな
誰|who (question word)|だれ
丹|cinnabar|タン
旦|daybreak|タン,ダン
胆|gall bladder|タン
淡|thin|タン,あわ-い
嘆|sigh|タン,なげ-く,なげ-かわしい
端|edge|タン,はし,は,はた
綻|rip|タン,ほころ-びる
鍛|forge|タン,きた-える
弾|bullet|ダン,ひ-く,はず-む,たま
壇|podium|ダン,（タン）
恥|shame|チ,は-じる,はじ,は-じらう,は-ずかしい
致|(to) do|チ,いた-す
遅|slow|チ,おく-れる,おく-らす,おそ-い
痴|stupid|チ
稚|immature|チ
緻|fine (not coarse)|チ
畜|livestock|チク
逐|pursue|チク
蓄|amass|チク,たくわ-える
秩|regularity|チツ
窒|plug up|チツ
嫡|legitimate wife|チャク
抽|pluck|チュウ
衷|inmost|チュウ
酎|sake|チュウ
鋳|casting|チュウ,い-る
駐|stop-over|チュウ
弔|condolences|チョウ,とむら-う
挑|challenge|チョウ,いど-む
彫|carve|チョウ,ほ-る
眺|stare|チョウ,なが-める
釣|angling|チョウ,つ-る
貼|paste|チョウ,は-る
超|transcend|チョウ,こ-える,こ-す
跳|hop|チョウ,は-ねる,と-ぶ
